LJ0071|And Raoul listened again to the tale of the house.|And Raoul listened again to the tale of the house.
LJ0072|There are no kiddies and half grown youths among them.|There are no kiddies and half grown youths among them.
LJ0073|Oolong Atoll was one hundred and forty miles in circumference.|Oolong Atoll was one hundred and forty miles in circumference.
LJ0074|McCoy found a stifling, poisonous atmosphere in the pent cabin.|McCoy found a stifling, poisonous atmosphere in the pent cabin.
LJ0075|It would give me nervous prostration.|It would give me nervous prostration.
LJ0076|She said with chattering teeth.|She said with chattering teeth.
LJ0077|I'll be out of my head in fifteen minutes.|I'll be out of my head in fifteen minutes.
LJ0078|Their forces were already moving into the north country.|Their forces were already moving into the north country.
LJ0079|I had faith in them.|I had faith in them.
LJ0080|They were three hundred yards apart.|They were three hundred yards apart.
LJ0081|Since then some mysterious force has been fighting us at every step.|Since then some mysterious force has been fighting us at every step.
LJ0082|He unfolded a long typewritten letter, and handed it to Gregson.|He unfolded a long typewritten letter, and handed it to Gregson.
LJ0083|Men of Selden's stamp don't stop at women and children.|Men of Selden's stamp don't stop at women and children.
LJ0084|He stopped, and Philip nodded at the horrified question in his eyes.|He stopped, and Philip nodded at the horrified question in his eyes.
LJ0085|She turned in at the hotel.|She turned in at the hotel.
LJ0086|I was the only one who remained sitting.|I was the only one who remained sitting.
LJ0087|We'll have to watch our chances.|We'll have to watch our chances.
LJ0088|The ship should be in within a week or ten days.|The ship should be in within a week or ten days.
LJ0089|I suppose you wonder why she is coming up here.|I suppose you wonder why she is coming up here.
LJ0090|Meanwhile I'll go out to breathe a spell.|Meanwhile I'll go out to breathe a spell.
LJ0091|How could he explain his possession of the sketch.|How could he explain his possession of the sketch.
LJ0092|It seemed nearer to him since he had seen and talked with Gregson.|It seemed nearer to him since he had seen and talked with Gregson.
LJ0093|Her own betrayal of herself was like tonic to Philip.|Her own betrayal of herself was like tonic to Philip.
LJ0094|He moved away as quietly as he had come.|He moved away as quietly as he had come.
LJ0095|The girl faced him, her eyes shining with sudden fear.|The girl faced him, her eyes shining with sudden fear.
LJ0096|Close beside him gleamed the white fangs of the wolf-dog.|Close beside him gleamed the white fangs of the wolf-dog.
LJ0097|He looked at the handkerchief more, closely.|He looked at the handkerchief more, closely.
LJ0098|Gregson was asleep when he re-entered the cabin.|Gregson was asleep when he re-entered the cabin.
LJ0099|In spite of their absurdity the words affected Philip curiously.|In spite of their absurdity the words affected Philip curiously.
LJ0100|The lace was of a delicate ivory color, faintly tinted with yellow.|The lace was of a delicate ivory color, faintly tinted with yellow.
LJ0101|It was a curious coincidence.|It was a curious coincidence.
LJ0102|Suddenly his fingers closed tightly over the handkerchief.|Suddenly his fingers closed tightly over the handkerchief.
LJ0103|There was nothing on the rock.|There was nothing on the rock.
LJ0104|Philip stood undecided, his ears strained to catch the slightest sound.|Philip stood undecided, his ears strained to catch the slightest sound.
LJ0105|Pearce's little eyes were fixed on him shrewdly.|Pearce's little eyes were fixed on him shrewdly.
LJ0106|Already he had begun borrowing from the banks.|Already he had begun borrowing from the banks.
LJ0107|It's the strap hangers that'll keep us from going under.|It's the strap hangers that'll keep us from going under.
LJ0108|As for himself, weren't the street railway earnings increasing steadily.|As for himself, weren't the street railway earnings increasing steadily.
LJ0109|A rising tide of fat had submerged them.|A rising tide of fat had submerged them.
LJ0110|Call me that again, he murmured ecstatically.|Call me that again, he murmured ecstatically.
LJ0111|In the car were Unwin and Harrison, while Jones sat with the chauffeur.|In the car were Unwin and Harrison, while Jones sat with the chauffeur.
LJ0112|And here's another idea.|And here's another idea.
LJ0113|Manuel had one besetting sin.|Manuel had one besetting sin.
LJ0114|The man smiled grimly, and brought a hatchet and a club.|The man smiled grimly, and brought a hatchet and a club.
LJ0115|Curly rushed her antagonist, who struck again and leaped aside.|Curly rushed her antagonist, who struck again and leaped aside.
LJ0116|His newborn cunning gave him poise and control.|His newborn cunning gave him poise and control.
LJ0117|Perrault found one with head buried in the grub box.|Perrault found one with head buried in the grub box.
LJ0118|It seemed the ordained order of things that dogs should work.|It seemed the ordained order of things that dogs should work.
LJ0119|And that was the last of Francois and Perrault.|And that was the last of Francois and Perrault.
LJ0120|Mercedes screamed, cried, laughed, and manifested the chaotic abandonment of hysteria.|Mercedes screamed, cried, laughed, and manifested the chaotic abandonment of hysteria.
LJ0121|The Eldorado emptied its occupants into the street to see the test.|The Eldorado emptied its occupants into the street to see the test.
LJ0122|He could feel a new stir in the land.|He could feel a new stir in the land.
LJ0123|So we have to fit the boat throughout with oil lamps as well.|So we have to fit the boat throughout with oil lamps as well.
LJ0124|It will break our hearts and our backs to hoist anchor by hand.|It will break our hearts and our backs to hoist anchor by hand.
LJ0125|There is another virtue in these bulkheads.|There is another virtue in these bulkheads.
LJ0126|But I am at the end of my resources.|But I am at the end of my resources.
LJ0127|Now our figuring was all right.|Now our figuring was all right.
LJ0128|It lasted as a deterrent for two days.|It lasted as a deterrent for two days.
LJ0129|The added weight had a velocity of fifteen miles per hour.|The added weight had a velocity of fifteen miles per hour.
LJ0130|It is also an insidious, deceitful sun.|It is also an insidious, deceitful sun.
LJ0131|The Portuguese boy crawled nearer and nearer.|The Portuguese boy crawled nearer and nearer.
LJ0132|The Portuguese boy passed the Hawaiian.|The Portuguese boy passed the Hawaiian.
LJ0133|When I came to I was waving my hat and murmuring ecstatically.|When I came to I was waving my hat and murmuring ecstatically.
LJ0134|Dunham, can your boy go along with Jesse.|Dunham, can your boy go along with Jesse.
LJ0135|But Johannes could, and did.|But Johannes could, and did.
LJ0136|A new preacher and a new doctrine come to Jerusalem.|A new preacher and a new doctrine come to Jerusalem.
LJ0137|He would destroy all things that are fixed.|He would destroy all things that are fixed.
LJ0138|He was an enthusiast and a desert dweller.|He was an enthusiast and a desert dweller.
LJ0139|What Pascal glimpsed with the vision of a seer, I have lived.|What Pascal glimpsed with the vision of a seer, I have lived.
LJ0140|I should like to engage just for one whole life in that.|I should like to engage just for one whole life in that.
LJ0141|Yea, so are all the lesser animals of today clean.|Yea, so are all the lesser animals of today clean.
LJ0142|The Warden with a quart of champagne.|The Warden with a quart of champagne.
LJ0143|Without a doubt, some of them have dinner engagements.|Without a doubt, some of them have dinner engagements.
LJ0144|I had been born with no organic, chemical predisposition toward alcohol.|I had been born with no organic, chemical predisposition toward alcohol.
LJ0145|He may anticipate the day of his death.|He may anticipate the day of his death.
LJ0146|The Italian rancho was a bachelor establishment.|The Italian rancho was a bachelor establishment.
LJ0147|I lost my balance and pitched head foremost into the ooze.|I lost my balance and pitched head foremost into the ooze.
LJ0148|Men like Joe Goose dated existence from drunk to drunk.|Men like Joe Goose dated existence from drunk to drunk.
LJ0149|Also, churches and preachers I had never known.|Also, churches and preachers I had never known.
LJ0150|Do you know that we weigh every pound of coal we burn.|Do you know that we weigh every pound of coal we burn.
LJ0151|This also became part of the daily schedule.|This also became part of the daily schedule.
LJ0152|All an appearance can know is mirage.|All an appearance can know is mirage.
LJ0153|Yet he dreams he is immortal, I argue feebly.|Yet he dreams he is immortal, I argue feebly.
LJ0154|I am writing these lines in Honolulu, Hawaii.|I am writing these lines in Honolulu, Hawaii.
LJ0155|Jack London, Waikiki Beach, Honolulu, Oahu.|Jack London, Waikiki Beach, Honolulu, Oahu.
LJ0156|Jerry was so secure in his nook that he did not roll away.|Jerry was so secure in his nook that he did not roll away.
LJ0157|Why, he's bought forty pounds of goods from you already.|Why, he's bought forty pounds of goods from you already.
LJ0158|The last refugee had passed.|The last refugee had passed.
LJ0159|And the foundation stone of service, in his case, was obedience.|And the foundation stone of service, in his case, was obedience.
LJ0160|Peace be unto you and grace before the Lord.|Peace be unto you and grace before the Lord.
LJ0161|His mouth opened; words shaped vainly on his lips.|His mouth opened; words shaped vainly on his lips.
LJ0162|A trickle of fresh blood ran over his face.|A trickle of fresh blood ran over his face.
LJ0163|Death had come with terrible suddenness.|Death had come with terrible suddenness.
LJ0164|Philip bent lower, and stared into the face of the dead man.|Philip bent lower, and stared into the face of the dead man.
LJ0165|He made sure that the magazine was loaded, and resumed his paddling.|He made sure that the magazine was loaded, and resumed his paddling.
LJ0166|The nightglow was treacherous to shoot by.|The nightglow was treacherous to shoot by.
LJ0167|The singing voice approached rapidly.|The singing voice approached rapidly.
LJ0168|His blood grew hot with rage at the thought.|His blood grew hot with rage at the thought.
LJ0169|He went down in midstream, searching the shadows of both shores.|He went down in midstream, searching the shadows of both shores.
LJ0170|For a full minute he crouched and listened.|For a full minute he crouched and listened.
LJ0171|He had barely entered this when he saw the glow of a fire.|He had barely entered this when he saw the glow of a fire.
LJ0172|A big canvas tent was the first thing to come within his vision.|A big canvas tent was the first thing to come within his vision.
LJ0173|Perhaps she had already met her fate a little deeper in the forest.|Perhaps she had already met her fate a little deeper in the forest.
LJ0174|Then you can arrange yourself comfortably among these robes in the bow.|Then you can arrange yourself comfortably among these robes in the bow.
LJ0175|Shall I carry you.|Shall I carry you.
LJ0176|A maddening joy pounded in his brain.|A maddening joy pounded in his brain.
LJ0177|You must sleep, he urged.|You must sleep, he urged.
LJ0178|You, you would not keep the truth from me.|You, you would not keep the truth from me.
LJ0179|He will follow us soon.|He will follow us soon.
LJ0180|But there came no promise from the bow of the canoe.|But there came no promise from the bow of the canoe.
LJ0181|She was sleeping under his protection as sweetly as a child.|She was sleeping under his protection as sweetly as a child.
LJ0182|Only, it is so wonderful, so almost impossible to believe.|Only, it is so wonderful, so almost impossible to believe.
LJ0183|The emotion which she had suppressed burst forth now in a choking sob.|The emotion which she had suppressed burst forth now in a choking sob.
LJ0184|If you only could know how I thank you.|If you only could know how I thank you.
LJ0185|He waded into the edge of the water and began scrubbing himself.|He waded into the edge of the water and began scrubbing himself.
LJ0186|Do you know that you are shaking my confidence in you.|Do you know that you are shaking my confidence in you.
LJ0187|Much, replied Jeanne, as tersely.|Much, replied Jeanne, as tersely.
LJ0188|Instead, he joined her; and they ate like two hungry children.|Instead, he joined her; and they ate like two hungry children.
LJ0189|He was wounded in the arm.|He was wounded in the arm.
